,Amazon,Amazon Prime Music,Amazon Prime Video,Apple,Apple Music,BitTorrent,Dailymotion,Deezer,Discord,Dropbox,Facebook Messenger,Facebook TV,Gmail,Google,Google Chat,Google Docs,Google Drive,Google Earth,Google Shop,Google Translate,Gotomeeting,Instagram,Line,Meta,Microsoft Teams,Netflix,SCP,Signal,Skype,Slack,Snapchat,Spotify,Tango,Telegram,Threema,TikTok,Twitch,Viber,Webex,Wechat,Whatsapp,Youtube,Zoom,iMessage,total_flows,recall,precision,weighted_precision,f1_score
Telegram,0,0,39,4,2,1,12,7,8,1,6,2,2,21,9,15,0,6,1,1,11,17,0,36,8,37,2,4,9,13,3,16,1,3579,16,82,32,322,0,0,7,0,6,0,4338,82.5,93.25,89.74,85.97
Threema,0,0,0,4,0,0,0,1,2,0,3,0,0,0,1,0,0,0,0,0,1,2,0,0,10,2,0,10,1,2,3,0,5,3,244,0,0,22,0,0,0,0,2,0,318,76.73,32.15,86.42,81.29
TikTok,3,17,20,203,6,0,88,17,1,8,10,4,16,84,12,8,0,3,0,7,6,10,0,13,54,79,1,0,6,24,14,7,1,5,1,1744,27,4,21,0,7,18,12,17,2578,67.65,33.4,44.27,53.52
Twitch,151,259,83,222,56,2,135,122,1,6,1,4,2,193,28,15,1,32,0,98,109,30,37,24,25,271,0,0,175,4,129,163,1,2,9,115,4071,9,94,0,0,6,58,0,6743,60.37,62.08,56.64,58.44
Viber,0,1,1,2,0,0,2,0,0,0,7,0,2,1,1,0,0,0,1,27,9,19,2,33,48,6,0,11,6,4,3,1,1,2,0,13,5,450,4,0,1,0,2,0,665,67.67,20.62,52.68,59.24
Webex,1,8,65,78,126,2,81,16,3,14,6,0,3,12,6,1,1,0,0,1,12,19,4,14,26,32,0,8,20,36,5,1,0,18,4,41,72,27,1503,0,2,1,38,5,2312,65.01,82.09,90.35,75.61
Wechat,0,0,0,5,3,5,0,2,9,1,0,0,0,50,0,2,0,0,0,0,0,23,1,13,12,3,0,0,4,0,9,3,24,1,4,10,19,4,2,4250,21,8,2,18,4508,94.28,99.84,99.89,97.0
Whatsapp,3,4,4,9,3,0,3,1,14,0,10,0,8,5,2,0,5,0,0,3,3,32,0,44,5,0,3,2,1,9,3,2,0,4,0,19,12,24,2,0,1075,2,1,0,1317,81.62,64.49,86.99,84.22
Youtube,7,45,15,96,22,0,48,78,0,0,4,0,7,859,35,29,0,3,4,38,17,18,1,4,40,89,1,0,17,11,118,71,5,5,58,139,43,8,0,0,1,2107,10,13,4066,51.82,61.66,82.14,63.55
Zoom,9,14,3,50,1,0,11,7,1,0,4,0,0,23,3,0,1,0,0,0,28,21,0,4,3,38,0,0,46,0,0,22,0,1,6,12,20,0,3,0,3,0,845,41,1220,69.26,53.55,81.41,74.85
iMessage,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,255,267,95.51,32.12,79.57,86.81
