,Amazon,Amazon Prime Music,Amazon Prime Video,Apple,Apple Music,BitTorrent,Dailymotion,Deezer,Discord,Dropbox,Facebook Messenger,Facebook TV,Gmail,Google,Google Chat,Google Docs,Google Drive,Google Earth,Google Shop,Google Translate,Gotomeeting,Instagram,Line,Meta,Microsoft Teams,Netflix,SCP,Signal,Skype,Slack,Snapchat,Spotify,Tango,Telegram,Threema,TikTok,Twitch,Viber,Webex,Wechat,Whatsapp,Youtube,Zoom,iMessage,total_flows,recall,precision,weighted_precision,f1_score
Google Translate,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,3,2,128,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,146,87.67,23.19,91.21,89.41
Gotomeeting,13,2,1,18,0,0,10,1,7,1,6,0,0,3,1,0,0,1,0,0,1568,2,0,4,20,6,0,4,12,11,14,4,0,15,1,2,2,13,3,0,0,2,11,1,1759,89.14,68.77,82.83,85.87
Instagram,1,1,5,11,0,0,5,0,23,1,188,6,10,16,24,3,0,4,0,0,5,875,0,19,1,0,0,3,3,3,5,11,0,2,8,33,7,9,2,0,13,12,2,0,1311,66.74,30.26,62.5,64.55
Line,1,0,0,3,0,0,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,299,1,5,0,0,0,0,5,0,0,1,2,0,1,1,1,0,0,1,1,0,1,334,89.52,85.67,98.3,93.7
Meta,7,33,13,85,44,13,23,41,132,8,601,308,45,425,102,20,0,72,1,11,21,1308,2,3530,50,11,1,49,29,45,72,240,20,14,41,145,88,211,59,2,458,118,11,0,8509,41.49,85.58,67.41,51.36
Microsoft Teams,1,2,5,42,2,0,16,7,7,1,6,0,2,17,12,0,0,0,0,0,6,1,1,3,655,18,1,1,77,15,0,1,0,6,10,10,28,33,4,1,1,1,3,8,1004,65.24,30.32,54.82,59.58
Netflix,13,34,75,70,4,2,85,46,3,2,1,5,10,157,7,8,0,2,1,4,12,2,4,0,26,3921,0,0,48,0,9,130,0,3,5,20,435,2,24,1,0,49,62,60,5342,73.4,74.49,68.65,70.95
SCP,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,62.5,29.41,98.59,76.5
Signal,0,0,2,0,0,0,0,1,0,0,1,0,2,0,3,0,5,0,0,0,1,2,0,0,2,1,0,331,0,1,0,1,1,1,9,2,0,5,0,0,0,0,0,0,371,89.22,61.99,94.58,91.82
Skype,25,11,66,95,12,2,172,17,21,20,30,0,16,114,38,3,3,5,2,0,52,17,2,19,560,129,0,22,2635,35,5,6,13,2,52,46,91,85,26,2,0,30,69,12,4562,57.76,68.19,63.63,60.55
Slack,2,0,4,0,0,0,0,1,2,0,6,0,0,5,2,0,2,0,0,0,5,0,0,2,9,1,0,1,4,278,2,0,0,2,17,7,1,3,0,0,0,1,2,0,359,77.44,31.03,81.85,79.58
Snapchat,7,8,4,3,4,0,3,9,19,0,3,1,1,100,28,2,0,2,1,1,4,11,2,8,6,5,0,1,5,7,876,18,1,0,27,11,17,15,0,0,1,25,2,0,1238,70.76,36.36,77.4,73.93
Spotify,6,42,153,86,40,1,58,225,8,2,7,26,19,609,214,13,12,87,1,6,19,31,1,12,3,155,1,2,7,24,103,4263,1,8,12,75,622,4,78,4,18,192,10,0,7260,58.72,67.53,66.91,62.55
Tango,0,0,0,0,1,0,0,0,1,0,1,1,0,5,0,0,0,1,0,0,1,0,0,0,0,4,0,0,2,0,2,0,143,1,2,0,0,0,1,0,0,0,0,1,167,85.63,40.06,93.98,89.61
Telegram,1,0,2,0,0,19,7,13,6,7,16,0,1,52,36,0,1,0,1,0,22,4,0,24,21,26,3,5,10,4,1,2,4,3906,28,8,9,60,18,0,12,0,9,0,4338,90.04,95.41,81.97,85.82
Threema,0,3,0,1,0,0,1,1,1,0,1,0,0,4,10,0,3,0,0,0,2,1,0,2,1,0,0,1,7,3,2,0,2,0,268,0,0,2,2,0,0,0,0,0,318,84.28,21.91,74.27,78.96
TikTok,7,26,52,146,5,3,119,9,40,18,18,0,26,125,19,7,1,41,1,6,12,12,2,5,35,68,1,2,10,24,12,16,1,5,5,1559,30,12,14,8,9,41,24,2,2578,60.47,56.61,62.74,61.59
Twitch,64,227,134,30,30,1,98,22,32,10,19,10,16,372,47,6,13,47,0,30,24,20,1,9,33,262,0,5,79,60,107,324,1,3,19,42,4193,90,39,0,0,143,80,1,6743,62.18,50.25,47.47,53.84
Viber,0,2,1,4,1,0,0,4,3,0,10,0,3,4,2,3,0,0,0,0,2,6,0,10,7,5,0,5,4,0,0,0,2,0,2,4,33,543,3,0,0,1,1,0,665,81.65,33.75,77.19,79.36
Webex,24,19,32,43,14,2,60,12,9,14,9,5,2,7,6,1,0,0,1,0,17,35,3,21,15,37,0,2,24,30,5,1,0,1,1,23,73,21,1704,2,2,1,34,0,2312,73.7,73.01,83.75,78.41
Wechat,0,0,0,7,0,1,5,1,2,3,8,0,4,44,4,0,0,9,3,0,0,1,3,1,15,18,2,3,4,0,0,1,8,2,2,64,22,3,11,4202,11,5,14,25,4508,93.21,99.06,98.87,95.96
Whatsapp,0,1,6,10,0,1,10,0,6,3,21,2,4,10,4,0,7,0,0,0,4,37,1,37,3,0,1,11,0,2,1,3,1,1,3,0,7,21,5,0,1069,18,7,0,1317,81.17,61.02,87.5,84.22
Youtube,3,33,8,29,6,3,26,12,7,5,2,4,46,771,90,13,5,44,14,11,19,9,7,6,10,8,0,2,27,10,64,45,15,5,74,31,75,1,1,1,3,2496,20,5,4066,61.39,42.36,63.73,62.54
Zoom,3,8,4,5,1,0,18,5,3,0,6,0,1,9,6,0,1,0,4,0,20,9,0,5,11,31,0,0,19,1,0,0,2,1,9,5,28,1,5,1,2,6,988,2,1220,80.98,48.46,80.56,80.77
iMessage,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,250,267,93.63,49.8,91.27,92.44
