,Amazon,Amazon Prime Music,Amazon Prime Video,Apple,Apple Music,BitTorrent,Dailymotion,Deezer,Discord,Dropbox,Facebook Messenger,Facebook TV,Gmail,Google,Google Chat,Google Docs,Google Drive,Google Earth,Google Shop,Google Translate,Gotomeeting,Instagram,Line,Meta,Microsoft Teams,Netflix,SCP,Signal,Skype,Slack,Snapchat,Spotify,Tango,Telegram,Threema,TikTok,Twitch,Viber,Webex,Wechat,Whatsapp,Youtube,Zoom,iMessage,total_flows,recall,precision,weighted_precision,f1_score
Google Chat,0,0,0,5,1,0,2,1,5,2,7,0,3,26,726,1,0,0,9,1,1,7,0,0,0,0,0,0,1,0,10,2,10,0,10,16,0,1,0,0,0,8,1,0,856,84.81,20.87,64.98,73.59
Google Docs,0,2,0,0,0,0,0,0,0,0,0,0,7,6,0,175,0,1,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,6,1,0,0,0,0,5,1,0,210,83.33,33.33,92.46,87.66
Google Drive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,77,0,2,0,0,0,0,1,0,0,0,4,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,96,80.21,36.15,94.7,86.85
Google Earth,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,357,5,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,377,94.69,19.98,83.41,88.69
Google Shop,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,64,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70,91.43,7.54,86.77,89.04
Google Translate,0,1,0,2,0,0,0,0,1,0,0,1,2,2,0,0,0,0,3,129,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,146,88.36,15.27,88.61,88.48
Gotomeeting,4,8,5,34,0,0,32,16,4,1,49,0,0,1,1,1,0,1,0,2,1488,3,0,1,9,2,0,12,2,3,4,9,1,11,3,25,1,8,13,0,0,1,0,4,1759,84.59,72.66,84.95,84.77
Instagram,1,0,4,1,0,4,3,0,4,0,198,8,6,3,44,1,0,2,0,0,14,902,1,5,0,3,0,2,0,1,18,1,0,0,2,23,0,3,9,0,22,24,2,0,1311,68.8,34.97,66.53,67.65
Line,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,1,0,296,1,15,0,0,0,0,1,0,2,0,0,0,8,0,1,0,0,0,2,0,1,334,88.62,67.89,94.67,91.55
Meta,2,6,2,16,45,27,96,6,109,32,754,339,75,155,50,5,0,25,1,3,34,1040,30,3388,12,10,0,83,170,20,114,159,9,7,95,582,45,120,61,0,599,168,14,1,8509,39.82,84.93,61.04,48.19
Microsoft Teams,1,9,2,17,9,0,6,4,11,0,13,0,3,7,1,0,0,0,0,0,12,1,3,3,579,7,0,15,72,3,2,1,0,0,1,196,0,6,1,0,1,2,2,14,1004,57.67,41.96,68.66,62.69
Netflix,0,34,93,91,55,2,190,82,3,10,25,15,21,50,6,7,3,24,11,49,2,7,2,2,12,2586,0,0,55,1,9,278,0,0,8,782,92,7,471,8,0,170,29,50,5342,48.41,75.9,73.87,58.49
SCP,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,75.0,13.64,98.48,85.15
Signal,0,0,0,2,0,0,0,1,1,2,1,0,4,0,3,0,0,0,0,0,4,0,0,0,0,0,0,331,1,5,1,0,0,3,6,3,0,2,1,0,0,0,0,0,371,89.22,50.77,83.28,86.15
Skype,4,54,34,36,15,3,84,16,15,44,55,3,28,81,8,4,0,64,0,4,33,5,7,8,274,3,30,13,2372,83,77,3,2,14,38,542,20,70,218,2,3,132,46,15,4562,51.99,63.0,58.3,54.97
Slack,0,0,1,0,0,0,1,1,1,0,15,0,0,1,1,0,0,0,0,0,0,2,1,1,8,0,0,0,1,279,4,1,0,0,7,24,0,0,6,0,0,4,0,0,359,77.72,30.46,68.01,72.54
Snapchat,0,6,1,4,0,3,3,6,13,1,7,2,2,37,38,0,0,2,0,7,0,5,1,9,3,3,4,2,1,7,911,26,2,0,10,77,0,8,0,0,0,33,4,0,1238,73.59,31.42,70.74,72.13
Spotify,6,43,224,102,108,1,43,175,9,89,33,67,49,166,197,17,5,69,0,113,9,5,6,22,4,119,0,1,18,41,186,4289,0,0,40,463,109,7,145,0,18,259,2,1,7260,59.08,63.48,61.96,60.48
Tango,0,0,0,1,0,0,0,1,0,1,1,0,0,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,145,1,0,1,0,0,6,0,0,1,0,0,167,86.83,42.9,94.38,90.44
Telegram,0,0,1,0,1,0,4,2,2,10,22,0,0,0,13,0,0,0,3,0,18,7,2,20,5,14,1,7,0,7,4,11,0,3697,22,337,0,69,41,1,16,0,1,0,4338,85.22,96.81,95.48,90.06
Threema,1,0,0,2,0,0,0,2,3,1,2,0,0,0,24,0,0,0,0,0,1,1,0,13,3,0,0,6,3,4,1,0,1,0,226,20,0,4,0,0,0,0,0,0,318,71.07,27.03,78.01,74.38
TikTok,1,15,22,49,9,2,60,13,35,20,14,9,36,99,23,12,3,19,5,26,15,17,0,7,27,54,0,1,61,16,53,15,2,0,31,1661,12,13,23,16,12,56,13,1,2578,64.43,16.39,26.48,37.53
Twitch,10,183,241,105,83,1,157,13,4,26,16,6,26,359,60,68,15,353,76,111,8,11,2,4,9,250,0,3,141,75,68,421,1,0,33,971,2188,58,252,1,1,285,44,4,6743,32.45,66.73,66.78,43.68
Viber,0,6,1,1,1,0,0,0,5,0,6,0,0,0,2,3,0,2,0,0,2,0,0,23,2,3,0,27,3,0,2,0,2,0,2,88,0,479,0,2,0,1,2,0,665,72.03,42.17,81.51,76.48
Webex,17,112,19,28,7,2,66,14,3,323,43,4,9,8,2,1,0,1,0,2,13,15,4,24,16,7,0,5,14,11,2,3,1,20,12,60,13,29,1347,1,21,1,21,11,2312,58.26,39.69,54.91,56.54
Wechat,1,0,0,0,1,0,3,12,9,0,2,0,0,12,6,0,0,0,0,0,3,0,1,2,1,3,0,0,8,0,5,0,10,3,2,69,0,22,1,4275,3,9,19,26,4508,94.83,98.1,97.6,96.2
Whatsapp,0,1,1,22,1,2,4,1,6,19,16,1,11,1,1,1,20,0,0,0,4,29,3,26,1,1,2,15,4,24,3,6,0,0,8,10,0,11,6,0,1046,8,2,0,1317,79.42,57.66,85.44,82.32
Youtube,0,21,6,18,15,2,25,14,26,6,9,17,87,319,86,7,18,37,28,29,4,11,18,9,7,9,0,1,15,31,98,134,10,0,4,177,33,4,4,2,2,2692,19,12,4066,66.21,35.72,53.21,59.0
Zoom,1,20,1,17,6,2,36,6,13,5,8,0,0,33,17,0,0,2,1,0,6,9,1,4,9,2,0,1,21,1,1,2,4,1,7,10,4,0,90,2,3,5,865,4,1220,70.9,59.94,81.68,75.91
iMessage,0,2,0,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,251,267,94.01,46.57,89.96,91.94
