,Amazon,Amazon Prime Music,Amazon Prime Video,Apple,Apple Music,BitTorrent,Dailymotion,Deezer,Discord,Dropbox,Facebook Messenger,Facebook TV,Gmail,Google,Google Chat,Google Docs,Google Drive,Google Earth,Google Shop,Google Translate,Gotomeeting,Instagram,Line,Meta,Microsoft Teams,Netflix,SCP,Signal,Skype,Slack,Snapchat,Spotify,Tango,Telegram,Threema,TikTok,Twitch,Viber,Webex,Wechat,Whatsapp,Youtube,Zoom,iMessage,total_flows,recall,precision,weighted_precision,f1_score
Google Shop,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,70,88.57,15.86,92.12,90.31
Google Translate,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,129,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,5,0,0,0,0,0,0,3,146,88.36,29.38,96.02,92.03
Gotomeeting,9,1,1,25,0,0,7,1,0,0,1,0,0,4,1,0,0,1,0,0,1555,2,0,7,71,2,0,1,15,0,6,4,1,0,0,1,10,25,0,0,0,2,6,0,1759,88.4,59.42,80.11,84.05
Instagram,0,0,3,43,0,3,0,0,21,0,147,7,5,19,37,2,0,5,0,0,4,839,0,39,8,2,0,1,2,16,23,0,1,2,8,28,7,6,1,0,15,2,14,1,1311,64.0,30.87,63.14,63.56
Line,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,290,0,11,0,0,2,8,0,0,0,1,2,0,1,6,0,0,0,2,0,1,3,334,86.83,77.13,96.44,91.38
Meta,22,27,38,291,74,26,48,15,75,4,593,285,19,193,146,3,0,6,0,0,384,1277,10,2931,43,18,0,43,80,100,427,163,8,35,54,295,174,95,24,2,409,17,30,25,8509,34.45,83.62,66.27,45.33
Microsoft Teams,6,2,3,17,2,0,5,4,5,3,3,0,3,3,3,0,0,0,0,0,9,2,5,0,669,2,0,1,112,15,2,1,0,14,7,17,30,35,0,2,1,2,8,11,1004,66.63,21.32,50.24,57.29
Netflix,4,35,68,72,5,0,62,17,14,0,0,1,0,34,13,0,0,1,2,7,4,2,1,1,85,3776,0,0,13,175,61,82,1,4,1,57,581,7,6,1,1,25,45,78,5342,70.69,66.16,55.53,62.2
SCP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,75.0,33.33,99.25,85.44
Signal,0,0,1,0,0,0,0,0,3,1,1,0,0,2,0,0,0,0,0,0,5,0,0,0,2,2,0,319,7,1,1,0,0,3,8,3,1,8,0,0,1,0,1,1,371,85.98,68.16,91.54,88.68
Skype,145,3,37,46,0,3,29,27,14,15,10,0,2,25,45,3,1,1,0,0,41,4,4,34,906,16,0,12,2710,61,17,20,5,4,89,40,43,58,9,9,1,6,41,26,4562,59.4,61.79,58.6,59.0
Slack,0,0,1,0,0,0,1,1,1,1,0,0,0,3,7,0,0,0,0,0,0,1,0,3,12,2,0,0,2,286,2,0,0,4,13,11,4,2,0,0,0,2,0,0,359,79.67,24.14,60.74,68.93
Snapchat,9,6,8,27,2,1,9,6,2,0,7,1,0,110,34,0,0,2,0,0,0,12,0,7,9,12,0,0,2,4,707,47,3,1,22,26,42,37,1,0,1,81,0,0,1238,57.11,22.84,60.66,58.83
Spotify,132,39,136,182,103,8,39,153,128,3,1,6,18,400,191,13,0,12,1,6,14,6,3,14,35,65,0,2,167,27,34,4170,0,14,12,124,910,4,15,0,13,45,15,0,7260,57.44,72.46,69.42,62.86
Tango,0,1,0,3,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,3,1,0,1,0,3,1,0,137,2,0,3,1,1,0,0,0,1,1,2,167,82.04,33.33,91.38,86.46
Telegram,0,1,8,6,1,18,9,2,8,5,14,3,0,6,16,2,1,0,0,1,19,7,0,25,41,91,10,7,7,32,10,16,9,3781,57,23,17,55,5,3,20,0,2,0,4338,87.16,93.98,88.1,87.63
Threema,0,0,0,0,0,0,0,4,0,0,2,0,0,0,3,0,0,0,0,0,4,0,0,1,0,0,0,2,1,0,1,0,1,2,281,2,0,7,5,0,0,0,1,1,318,88.36,19.9,76.21,81.84
TikTok,0,18,32,97,17,4,106,15,6,4,6,9,6,56,11,9,1,5,1,4,2,11,1,3,35,151,0,1,6,66,37,7,3,11,7,1643,44,5,10,3,12,57,25,31,2578,63.73,42.6,49.34,55.62
Twitch,195,255,114,46,41,5,81,16,1,1,1,13,1,81,41,2,12,10,0,1,32,11,1,1,71,441,0,2,74,1,56,91,2,11,6,87,4753,3,32,0,1,41,107,2,6743,70.49,46.17,40.11,51.13
Viber,0,2,1,2,0,0,0,0,1,1,4,0,0,4,3,4,1,0,0,0,10,11,0,6,15,7,0,8,3,10,2,0,2,1,1,6,33,518,0,1,6,0,2,0,665,77.89,32.01,74.84,76.34
Webex,7,21,49,37,15,1,35,7,9,5,6,0,2,7,23,3,7,1,0,0,24,3,1,16,33,55,0,2,4,36,9,3,0,1,35,31,108,33,1619,0,0,2,52,10,2312,70.03,86.3,89.12,78.43
Wechat,0,0,0,0,1,33,0,1,1,2,0,0,0,4,5,0,0,0,0,0,0,1,6,0,4,0,0,1,0,3,6,0,66,3,41,36,12,2,0,4254,8,3,10,5,4508,94.37,99.21,98.59,96.43
Whatsapp,0,1,4,9,4,2,2,0,8,15,4,1,0,4,5,0,3,2,0,0,1,59,4,51,6,4,0,5,0,6,11,16,2,1,6,17,15,12,3,0,1024,2,6,2,1317,77.75,63.68,86.79,82.02
Youtube,6,32,18,85,30,2,8,40,3,2,2,0,12,574,99,14,0,8,10,12,9,5,0,5,33,37,0,1,6,6,139,50,7,4,87,78,142,2,2,1,0,2386,8,101,4066,58.68,39.86,61.35,59.99
Zoom,33,17,6,13,2,1,8,14,4,2,7,0,0,8,5,0,0,1,0,1,15,6,0,2,24,31,0,0,14,0,4,3,1,2,3,7,49,0,1,0,1,1,894,40,1220,73.28,47.08,76.95,75.07
iMessage,0,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,256,267,95.88,26.61,74.53,83.87
